cluster,play,like,coin,favorite,share,danmaku,reply,like_per_play,coin_per_play,favorite_per_play,share_per_play,danmaku_per_play,reply_per_play,interaction_density
0,2874120.5217391304,190041.20289855072,91736.28985507246,56028.27536231884,16332.434782608696,10293.710144927536,3463.159420289855,0.0692470916699047,0.03612425299429844,0.02222539060381686,0.0062361528701476675,0.004126998350048677,0.0014789110931396946,0.13943879758135602
1,16352613.111111112,1020452.1111111111,810584.1111111111,481704.0,124526.66666666667,60431.333333333336,8907.0,0.06412972557645509,0.05493023566482921,0.032081052106212926,0.008465919285105351,0.0046667868227644235,0.0006335379702339188,0.16490725742560092
2,6355981.769230769,387221.6538461539,229987.03846153847,142806.42307692306,44359.692307692305,29529.26923076923,9329.346153846154,0.06392969524743813,0.03936651816897316,0.022760143184681628,0.007617438889814792,0.006016890745132739,0.0023951990082121156,0.14208588524425256
